Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,Laos,Baby Food,Online,M,12/20/2020,771716039,1/13/2021,4386,237.14,154.52,1040096.04,677724.72,362371.32
Asia,Brunei,Office Supplies,Online,M,11/20/2020,993303401,12/7/2020,4342,566.82,443.21,2461132.44,1924417.82,536714.62
North America,Mexico,Clothes,Online,H,7/11/2020,497392596,7/25/2020,10481,102.09,30.45,1070005.29,319146.45,750858.84
Asia,Sri Lanka,Baby Food,Online,H,4/10/2020,991447722,5/10/2020,2362,243.66,144.07,575524.92,340293.34,235231.58
Sub-Saharan Africa,Senegal,Vegetables,Offline,L,7/16/2020,706562638,8/15/2020,391,135.96,75.93,53160.36,29688.63,23471.73
Europe,San Marino,Beverages,Online,C,3/16/2020,623677185,4/3/2020,2697,42.03,26.85,113354.91,72414.45,40940.46
Central America and the Caribbean,Grenada,Office Supplies,Offline,H,2/10/2020,720483249,2/22/2020,746,640.87,463.4,478089.02,345696.4,132392.62
Central America and the Caribbean,Grenada,Cereal,Online,H,3/28/2020,407030725,4/13/2020,3854,174.52,102.09,672600.08,393454.86,279145.22
Europe,Moldova ,Household,Offline,L,12/24/2020,223228154,12/29/2020,1016,581.81,460.49,591118.96,467857.84,123261.12
Middle East and North Africa,Lebanon,Vegetables,Online,L,3/28/2020,414384443,4/20/2020,7569,155.1,89.77,1173951.9,679469.13,494482.77
Central America and the Caribbean,Costa Rica,Cosmetics,Online,L,12/11/2021,504219702,12/19/2021,1196,492.26,344.64,588742.96,412189.44,176553.52
Australia and Oceania,Australia,Meat,Offline,L,5/18/2021,841307429,5/27/2021,4136,517.51,471.52,2140421.36,1950206.72,190214.64
North America,Mexico,Personal Care,Online,L,12/23/2021,337112740,1/15/2022,1378,105.24,67.03,145020.72,92367.34,52653.38
Australia and Oceania,Federated States of Micronesia,Snacks,Online,M,11/10/2021,636556052,11/24/2021,5987,202.99,111.15,1215301.13,665455.05,549846.08
Europe,Austria,Clothes,Online,H,6/26/2021,980445875,7/6/2021,1024,133.98,42.07,137195.52,43079.68,94115.84
Australia and Oceania,New Zealand,Clothes,Online,L,5/16/2021,591678071,6/5/2021,9574,132.16,41.26,1265299.84,395023.24,870276.6
Australia and Oceania,New Zealand,Cereal,Online,H,3/1/2021,651073745,3/5/2021,1374,230.91,141.42,317270.34,194311.08,122959.26
North America,Mexico,Meat,Online,L,12/7/2021,162378807,12/30/2021,4541,549.82,426.99,2496732.62,1938961.59,557771.03
Central America and the Caribbean,Grenada,Household,Online,C,12/21/2021,664039630,1/5/2022,10504,760.45,650.03,7987766.8,6827915.12,1159851.68
North America,Mexico,Cosmetics,Online,M,10/8/2021,662498931,10/23/2021,10657,575.88,314.39,6137153.16,3350454.23,2786698.93
Middle East and North Africa,Iran,Fruits,Online,M,12/12/2021,929290592,12/20/2021,11254,12.21,7.93,137411.34,89244.22,48167.12
Middle East and North Africa,Pakistan,Baby Food,Offline,L,7/21/2021,808331287,8/13/2021,6440,335.31,188.34,2159396.4,1212909.6,946486.8
North America,Mexico,Baby Food,Online,M,5/17/2021,622382115,6/12/2021,5030,302.18,180.71,1519965.4,908971.3,610994.1
Europe,San Marino,Office Supplies,Online,M,11/17/2021,297330830,11/18/2021,2232,738.88,596.27,1649180.16,1330874.64,318305.52
Europe,Romania,Meat,Online,H,3/28/2021,309313721,4/12/2021,3478,570.86,476.15,1985451.08,1656049.7,329401.38
Asia,Kyrgyzstan,Household,Online,C,11/7/2021,677398498,11/17/2021,5310,858.03,583.07,4556139.3,3096101.7,1460037.6
Asia,Turkmenistan,Snacks,Offline,M,11/10/2021,399156445,12/1/2021,8114,190.14,129.38,1542795.96,1049789.32,493006.64
Australia and Oceania,East Timor,Household,Online,M,10/7/2021,906928830,10/25/2021,2704,857.05,634.18,2317463.2,1714822.72,602640.48
Australia and Oceania,Australia,Fruits,Offline,C,3/11/2021,149460682,3/18/2021,6832,10.57,9.02,72214.24,61624.64,10589.6
Europe,Switzerland,Clothes,Online,H,6/16/2021,830464260,6/29/2021,9453,128.24,42.81,1212252.72,404682.93,807569.79
North America,Mexico,Office Supplies,Online,L,3/23/2021,351906406,4/16/2021,8966,808.18,590.23,7246141.88,5292002.18,1954139.7
Asia,Brunei,Office Supplies,Online,H,7/1/2021,111457526,7/19/2021,478,757.46,607.58,362065.88,290423.24,71642.64
Europe,Moldova ,Beverages,Online,H,4/24/2021,910571161,5/15/2021,2918,56.58,36.98,165100.44,107907.64,57192.8
Sub-Saharan Africa,Djibouti,Office Supplies,Offline,M,2/11/2021,908800239,2/20/2021,5281,734.76,597.83,3880267.56,3157140.23,723127.33
Sub-Saharan Africa,Madagascar,Cosmetics,Offline,C,3/2/2021,414141596,3/15/2021,6527,500.13,351.46,3264348.51,2293979.42,970369.09
Europe,Macedonia,Vegetables,Offline,H,12/30/2021,480702367,1/16/2022,6026,181.53,122.09,1093899.78,735714.34,358185.44
North America,Mexico,Vegetables,Online,L,10/31/2021,865278190,11/10/2021,7979,176.46,103.61,1407974.34,826704.19,581270.15
Sub-Saharan Africa,Senegal,Personal Care,Online,H,6/14/2021,302911688,6/23/2021,8989,102.48,64.26,921192.72,577633.14,343559.58
Asia,Bangladesh,Personal Care,Online,M,11/5/2021,131661933,12/4/2021,1725,95.54,76.53,164806.5,132014.25,32792.25
Europe,Switzerland,Clothes,Online,C,10/3/2021,816506961,10/20/2021,1818,122.06,48.19,221905.08,87609.42,134295.66
Australia and Oceania,East Timor,Office Supplies,Online,C,10/2/2022,423206886,10/25/2022,4660,783.09,641.86,3649199.4,2991067.6,658131.8
Central America and the Caribbean,Costa Rica,Meat,Online,C,6/22/2022,118894606,7/15/2022,6490,476.14,439.14,3090148.6,2850018.6,240130.0
Middle East and North Africa,Saudi Arabia,Personal Care,Online,H,8/25/2022,112853201,9/7/2022,232,88.62,70.38,20559.84,16328.16,4231.68
Asia,Turkmenistan,Office Supplies,Offline,H,6/6/2022,875446582,6/20/2022,1008,688.54,632.88,694048.32,637943.04,56105.28
Middle East and North Africa,Syria,Fruits,Online,C,1/24/2022,684308761,2/23/2022,10555,9.94,7.49,104916.7,79056.95,25859.75
Asia,Brunei,Household,Online,L,7/29/2022,303259199,8/3/2022,7998,770.75,590.88,6164458.5,4725858.24,1438600.26
Australia and Oceania,New Zealand,Snacks,Online,C,12/21/2022,965951192,1/17/2023,4397,188.15,121.52,827295.55,534323.44,292972.11
Australia and Oceania,Kiribati,Clothes,Online,H,11/12/2022,437851880,11/21/2022,8475,136.61,43.34,1157769.75,367306.5,790463.25
Central America and the Caribbean,Belize,Personal Care,Online,L,5/16/2022,349090589,6/14/2022,8205,98.32,62.67,806715.6,514207.35,292508.25
North America,Mexico,Beverages,Offline,C,2/6/2022,458350333,2/12/2022,10827,53.81,37.74,582600.87,408610.98,173989.89
Sub-Saharan Africa,Comoros,Clothes,Offline,M,8/12/2022,995878957,8/14/2022,9256,126.6,37.84,1171809.6,350247.04,821562.56
Central America and the Caribbean,Honduras,Office Supplies,Online,M,11/29/2022,755913772,12/12/2022,1521,761.09,636.36,1157617.89,967903.56,189714.33
Sub-Saharan Africa,South Sudan,Household,Offline,C,3/27/2022,363619690,4/15/2022,5521,768.99,565.66,4245593.79,3123008.86,1122584.93
Central America and the Caribbean,Honduras,Beverages,Online,M,7/18/2022,785408092,7/20/2022,3036,53.3,39.89,161818.8,121106.04,40712.76
Europe,Russia,Fruits,Online,H,9/21/2022,711287827,10/6/2022,2152,11.07,8.33,23822.64,17926.16,5896.48
Central America and the Caribbean,Haiti,Meat,Offline,L,3/31/2022,347674853,4/17/2022,7082,467.07,459.06,3307789.74,3251062.92,56726.82
Middle East and North Africa,Iran,Baby Food,Online,M,3/28/2022,742765500,4/24/2022,10365,288.19,171.15,2987089.35,1773969.75,1213119.6
Europe,United Kingdom,Clothes,Online,M,11/6/2022,652861927,11/15/2022,8246,120.3,44.66,991993.8,368266.36,623727.44
Asia,Sri Lanka,Cereal,Online,L,11/5/2022,690733037,11/28/2022,2004,229.37,126.64,459657.48,253786.56,205870.92
Central America and the Caribbean,Grenada,Clothes,Offline,H,4/6/2022,685407506,5/3/2022,4315,116.23,40.86,501532.45,176310.9,325221.55
Asia,Malaysia,Household,Online,L,12/11/2022,911470342,12/31/2022,4828,802.72,634.11,3875532.16,3061483.08,814049.08
Australia and Oceania,Kiribati,Cereal,Offline,H,3/17/2022,290263832,4/8/2022,798,223.1,138.24,178033.8,110315.52,67718.28
Australia and Oceania,Tuvalu,Meat,Offline,L,2/18/2022,976317091,2/20/2022,5866,478.95,407.79,2809520.7,2392096.14,417424.56
Europe,Lithuania,Baby Food,Offline,L,7/8/2022,769642289,8/5/2022,4610,318.51,176.88,1468331.1,815416.8,652914.3
Central America and the Caribbean,Costa Rica,Snacks,Offline,M,4/2/2022,558734787,4/6/2022,4151,188.23,118.21,781342.73,490689.71,290653.02
Europe,Portugal,Baby Food,Online,L,5/28/2022,400786803,5/31/2022,5829,284.08,190.64,1655902.32,1111240.56,544661.76
North America,Mexico,Beverages,Online,M,10/18/2022,642850752,11/11/2022,4609,51.34,39.07,236626.06,180073.63,56552.43
Europe,Macedonia,Cereal,Online,C,4/16/2022,908711613,5/8/2022,7593,218.46,136.46,1658766.78,1036140.78,622626.0
North America,Mexico,Cosmetics,Offline,L,6/12/2022,939370676,6/14/2022,6056,549.89,324.04,3330133.84,1962386.24,1367747.6
Europe,Romania,Snacks,Online,C,1/22/2022,629072489,2/21/2022,7717,178.23,114.05,1375400.91,880123.85,495277.06
North America,Mexico,Personal Care,Online,L,10/25/2023,711118350,10/27/2023,4922,93.94,63.02,462372.68,310184.44,152188.24
Australia and Oceania,Kiribati,Beverages,Online,C,6/15/2023,365499500,6/26/2023,6163,56.46,39.78,347962.98,245164.14,102798.84
North America,Mexico,Cereal,Online,L,5/28/2023,287645242,6/25/2023,7742,235.82,133.01,1825718.44,1029763.42,795955.02
Asia,Bangladesh,Clothes,Online,H,2/22/2023,628127162,3/3/2023,2032,137.49,41.91,279379.68,85161.12,194218.56
Asia,Kyrgyzstan,Beverages,Online,C,10/9/2023,925692306,10/18/2023,5965,50.72,37.0,302544.8,220705.0,81839.8
Asia,Myanmar,Clothes,Online,C,12/26/2023,638128091,1/20/2024,3363,134.48,46.51,452256.24,156413.13,295843.11
Australia and Oceania,Australia,Vegetables,Online,M,3/28/2023,863672396,4/24/2023,4363,165.81,117.72,723429.03,513612.36,209816.67
Central America and the Caribbean,Honduras,Cereal,Online,H,4/22/2023,921911959,5/2/2023,2837,230.61,133.07,654240.57,377519.59,276720.98
Australia and Oceania,East Timor,Fruits,Online,L,6/5/2023,912345809,6/29/2023,8148,10.07,7.48,82050.36,60947.04,21103.32
North America,Mexico,Fruits,Online,H,6/20/2023,466605172,7/8/2023,7832,10.66,8.09,83489.12,63360.88,20128.24
Sub-Saharan Africa,Cameroon,Meat,Online,L,12/18/2023,309490190,12/31/2023,4648,473.89,400.57,2202640.72,1861849.36,340791.36
Sub-Saharan Africa,Niger,Cereal,Online,L,10/15/2023,433072144,11/4/2023,5547,223.42,147.02,1239310.74,815519.94,423790.8
North America,Mexico,Vegetables,Online,L,5/4/2023,256481673,5/20/2023,6373,172.73,111.78,1100808.29,712373.94,388434.35
Sub-Saharan Africa,The Gambia,Cosmetics,Online,C,4/29/2023,850515768,5/5/2023,7557,477.31,313.81,3607031.67,2371462.17,1235569.5
Sub-Saharan Africa,Cameroon,Cosmetics,Online,L,3/21/2023,504545107,3/28/2023,7903,479.69,289.26,3790990.07,2286021.78,1504968.29
Europe,Spain,Personal Care,Online,H,12/16/2023,953202922,1/1/2024,8880,97.27,71.07,863757.6,631101.6,232656.0
Europe,Lithuania,Personal Care,Offline,L,4/9/2023,118648695,4/24/2023,4901,90.86,63.69,445304.86,312144.69,133160.17
North America,Mexico,Office Supplies,Online,C,2/7/2023,369561875,2/18/2023,8672,738.37,627.58,6403144.64,5442373.76,960770.88
North America,Mexico,Household,Online,L,5/5/2023,761346366,5/31/2023,6820,814.1,544.49,5552162.0,3713421.8,1838740.2
Sub-Saharan Africa,Kenya,Office Supplies,Online,H,12/10/2023,714194588,12/19/2023,4942,806.23,566.19,3984388.66,2798110.98,1186277.68
Central America and the Caribbean,Honduras,Fruits,Online,M,10/29/2023,216228974,11/8/2023,4438,10.06,7.45,44646.28,33063.1,11583.18
Central America and the Caribbean,Costa Rica,Clothes,Online,M,1/2/2023,962807039,1/12/2023,9690,134.24,44.62,1300785.6,432367.8,868417.8
Europe,Monaco,Fruits,Online,L,3/25/2023,886557621,4/24/2023,5384,10.38,8.86,55885.92,47702.24,8183.68
Australia and Oceania,East Timor,Cereal,Online,C,6/4/2023,431389965,6/28/2023,1985,224.11,125.82,444858.35,249752.7,195105.65
North America,Mexico,Personal Care,Offline,L,8/8/2023,988113053,9/7/2023,869,93.19,63.92,80982.11,55546.48,25435.63
Europe,Russia,Snacks,Online,M,9/11/2023,318391888,9/19/2023,3460,180.39,105.26,624149.4,364199.6,259949.8
Asia,Turkmenistan,Household,Online,L,4/16/2023,506350986,4/19/2023,10710,719.96,540.4,7710771.6,5787684.0,1923087.6
Central America and the Caribbean,Honduras,Personal Care,Online,H,10/6/2023,649801972,10/24/2023,9335,91.41,66.52,853312.35,620964.2,232348.15
Europe,Macedonia,Clothes,Online,H,3/22/2023,220165029,4/9/2023,11277,130.6,42.22,1472776.2,476114.94,996661.26
Sub-Saharan Africa,Burkina Faso,Clothes,Offline,H,12/21/2023,191637856,1/17/2024,5379,140.39,42.99,755157.81,231243.21,523914.6
Australia and Oceania,Samoa ,Cereal,Offline,H,4/25/2024,286320717,5/17/2024,10151,231.54,148.6,2350362.54,1508438.6,841923.94
Middle East and North Africa,Iran,Baby Food,Online,H,6/24/2024,901022441,7/15/2024,6440,300.01,206.02,1932064.4,1326768.8,605295.6
Australia and Oceania,Fiji,Fruits,Online,H,6/12/2024,152945080,6/22/2024,4456,11.36,7.81,50620.16,34801.36,15818.8
North America,Mexico,Snacks,Offline,L,6/14/2024,943501866,6/24/2024,2177,201.68,126.78,439057.36,276000.06,163057.3
Australia and Oceania,Tuvalu,Clothes,Online,H,10/21/2024,852518909,10/26/2024,906,137.48,39.45,124556.88,35741.7,88815.18
Europe,San Marino,Fruits,Online,M,8/5/2024,604857637,8/26/2024,4199,11.91,8.04,50010.09,33759.96,16250.13
Australia and Oceania,New Zealand,Vegetables,Online,C,4/29/2024,970258961,5/28/2024,1892,195.78,108.32,370415.76,204941.44,165474.32
Asia,Myanmar,Clothes,Online,H,9/20/2024,331226281,9/21/2024,1979,144.08,46.21,285134.32,91449.59,193684.73
Sub-Saharan Africa,Cape Verde,Vegetables,Online,L,10/11/2024,427171945,10/24/2024,5487,195.47,119.91,1072543.89,657946.17,414597.72
Middle East and North Africa,Pakistan,Vegetables,Offline,C,1/2/2024,402184494,1/3/2024,8017,171.66,104.86,1376198.22,840662.62,535535.6
Europe,United Kingdom,Meat,Offline,H,2/21/2024,141704599,3/4/2024,2600,542.82,478.43,1411332.0,1243918.0,167414.0
Sub-Saharan Africa,Gabon,Cosmetics,Online,H,8/26/2024,106139360,9/8/2024,11561,535.12,300.59,6186522.32,3475120.99,2711401.33
Australia and Oceania,Federated States of Micronesia,Baby Food,Online,L,10/11/2024,244888979,10/12/2024,11551,315.33,181.1,3642376.83,2091886.1,1550490.73
Europe,Norway,Personal Care,Online,M,2/18/2024,895976265,3/2/2024,1148,102.62,67.88,117807.76,77926.24,39881.52
North America,Mexico,Personal Care,Online,M,10/24/2024,972900830,10/31/2024,4804,97.41,69.67,467957.64,334694.68,133262.96
Australia and Oceania,Fiji,Baby Food,Online,M,9/1/2024,327888133,10/1/2024,10398,323.02,195.41,3358761.96,2031873.18,1326888.78
Middle East and North Africa,Iran,Cosmetics,Online,L,12/22/2024,219890647,12/27/2024,6249,541.32,346.17,3382708.68,2163216.33,1219492.35
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,Online,C,8/7/2024,167414380,9/3/2024,5920,203.58,100.57,1205193.6,595374.4,609819.2
Australia and Oceania,New Zealand,Snacks,Online,L,3/13/2024,340982204,4/2/2024,3494,174.95,120.0,611275.3,419280.0,191995.3
Asia,Brunei,Personal Care,Online,C,5/15/2024,571814012,5/19/2024,3348,92.68,74.65,310292.64,249928.2,60364.44
Australia and Oceania,Fiji,Snacks,Online,M,8/27/2024,937557937,9/12/2024,5407,193.8,113.63,1047876.6,614397.41,433479.19
Sub-Saharan Africa,Cameroon,Cereal,Online,C,4/13/2024,262078755,5/4/2024,4432,242.98,138.79,1076887.36,615117.28,461770.08
North America,Mexico,Meat,Online,M,1/28/2024,917572641,2/26/2024,3834,532.59,402.78,2041950.06,1544258.52,497691.54
Australia and Oceania,Solomon Islands,Meat,Offline,M,9/14/2024,387164313,9/16/2024,5930,548.51,421.98,3252664.3,2502341.4,750322.9
Europe,Romania,Baby Food,Online,L,1/26/2024,120881055,2/11/2024,2183,302.5,205.15,660357.5,447842.45,212515.05
Middle East and North Africa,Libya,Snacks,Offline,H,8/3/2024,490116134,8/30/2024,2192,176.12,124.4,386055.04,272684.8,113370.24
Asia,Mongolia,Personal Care,Online,C,12/6/2024,763519930,12/10/2024,6709,102.78,67.04,689551.02,449771.36,239779.66
Middle East and North Africa,Iran,Fruits,Offline,M,7/4/2024,222655297,7/29/2024,8065,10.65,7.69,85892.25,62019.85,23872.4
Europe,Slovenia,Meat,Online,H,1/15/2024,789841928,1/21/2024,6072,558.68,469.75,3392304.96,2852322.0,539982.96
Central America and the Caribbean,Belize,Household,Online,L,12/10/2024,513762166,1/2/2025,3243,817.74,605.24,2651930.82,1962793.32,689137.5
North America,Mexico,Vegetables,Offline,H,1/26/2025,159395165,2/21/2025,2486,180.61,113.83,448996.46,282981.38,166015.08
Europe,Switzerland,Meat,Online,M,3/13/2025,241396433,4/4/2025,4758,510.93,407.55,2431004.94,1939122.9,491882.04
Central America and the Caribbean,Honduras,Household,Offline,M,12/18/2025,811623809,12/27/2025,3120,750.56,598.49,2341747.2,1867288.8,474458.4
North America,Mexico,Personal Care,Online,L,6/14/2025,493335033,6/22/2025,8725,103.98,72.52,907225.5,632737.0,274488.5
North America,Mexico,Vegetables,Online,L,10/23/2025,827655729,11/11/2025,4876,204.07,103.68,995045.32,505543.68,489501.64
Middle East and North Africa,Saudi Arabia,Snacks,Offline,L,6/22/2025,672110729,7/22/2025,6455,181.8,116.19,1173519.0,750006.45,423512.55
Sub-Saharan Africa,Kenya,Meat,Offline,C,11/21/2025,864324404,11/27/2025,4677,572.04,466.64,2675431.08,2182475.28,492955.8
Europe,Bulgaria,Vegetables,Online,L,4/22/2025,162010642,5/11/2025,6576,178.32,107.34,1172632.32,705867.84,466764.48
Sub-Saharan Africa,Mali,Personal Care,Offline,C,4/14/2025,220839609,5/2/2025,5092,109.99,65.15,560069.08,331743.8,228325.28
Middle East and North Africa,Iran,Office Supplies,Online,H,5/27/2025,531011298,6/22/2025,4547,751.95,606.0,3419116.65,2755482.0,663634.65
Central America and the Caribbean,Nicaragua,Office Supplies,Offline,M,3/20/2025,981794398,3/26/2025,789,806.19,600.98,636083.91,474173.22,161910.69
Asia,Mongolia,Meat,Online,L,8/5/2025,857050083,9/1/2025,6268,524.17,418.14,3285497.56,2620901.52,664596.04
Europe,Austria,Snacks,Offline,L,8/14/2025,431494102,8/30/2025,2746,177.49,112.77,487387.54,309666.42,177721.12
Asia,Mongolia,Clothes,Offline,L,9/26/2025,655454265,10/18/2025,9000,141.14,44.5,1270260.0,400500.0,869760.0
Asia,Turkmenistan,Office Supplies,Online,L,2/16/2025,926185925,3/8/2025,6262,749.22,626.69,4691615.64,3924332.78,767282.86
Central America and the Caribbean,Grenada,Clothes,Online,C,2/5/2025,406247063,2/13/2025,6045,130.5,45.57,788872.5,275470.65,513401.85
Central America and the Caribbean,Haiti,Cosmetics,Offline,C,7/20/2025,502551541,8/12/2025,5750,550.15,336.08,3163362.5,1932460.0,1230902.5
Central America and the Caribbean,Haiti,Household,Online,L,4/11/2025,511749733,5/4/2025,8763,764.3,656.31,6697560.9,5751244.53,946316.37
Asia,Malaysia,Snacks,Offline,C,8/18/2025,953363787,9/17/2025,4331,207.49,131.31,898639.19,568703.61,329935.58
Middle East and North Africa,Syria,Meat,Online,L,8/28/2025,630971161,9/26/2025,3070,497.08,424.04,1526035.6,1301802.8,224232.8
Europe,Slovakia,Baby Food,Offline,L,3/7/2025,173406869,3/9/2025,9774,317.04,213.57,3098748.96,2087433.18,1011315.78
Europe,Iceland,Baby Food,Online,M,8/6/2025,250725360,8/28/2025,5993,305.04,186.64,1828104.72,1118533.52,709571.2
Central America and the Caribbean,Honduras,Household,Online,M,8/16/2025,424305002,8/29/2025,1126,867.42,634.17,976714.92,714075.42,262639.5
Central America and the Caribbean,Grenada,Fruits,Online,C,1/29/2025,492688433,2/15/2025,1934,11.45,8.53,22144.3,16497.02,5647.28
Middle East and North Africa,Syria,Beverages,Offline,H,5/21/2025,955822522,6/12/2025,6869,62.38,37.15,428488.22,255183.35,173304.87
North America,Mexico,Baby Food,Offline,C,10/4/2025,169536756,10/15/2025,2709,337.85,211.19,915235.65,572113.71,343121.94
Asia,Laos,Household,Online,H,1/9/2025,531337302,1/24/2025,2274,880.83,680.5,2003007.42,1547457.0,455550.42
Australia and Oceania,New Zealand,Baby Food,Online,M,9/27/2025,929545098,9/28/2025,7786,294.45,199.45,2292587.7,1552917.7,739670.0
Middle East and North Africa,Iran,Fruits,Online,C,4/15/2025,917683945,5/13/2025,4409,12.54,9.04,55288.86,39857.36,15431.5
Europe,Moldova ,Personal Care,Offline,C,8/9/2025,582518969,8/16/2025,8527,102.24,63.26,871800.48,539418.02,332382.46
